Funcion 1,Descripcion,Minutos,Granulos,Minutos por Gránulo,Costo Estimado ($COP),Costo por Gránulo,Estado,TAREA,Duración (días)
CURSO TIPO C,Megatendencias y Escenarios Mundiales,624,4,156.0,353097.0857142857,88274.27142857143,True,Megatendencias y Escenarios Mundiales,4.0
CURSO TIPO C,"Sistema gerenciales, herramienta de control estratégico",12,2,6.0,6790.328571428571,3395.1642857142856,True,"Sistema gerenciales, herramienta de control estratégico",4.0
CURSO TIPO C,Herramientas Big Data,1236,4,309.0,699403.8428571428,174850.9607142857,True,Herramientas Big Data,4.0
CURSO TIPO C,ERP,12,4,3.0,6790.328571428571,1697.5821428571428,True,ERP,4.0
CURSO TIPO C, ANÁLISIS DE CRÉDITO (ELECTIVA COMPLEMENTARIA II),12,8,1.5,6790.328571428571,848.7910714285714,True,,
CURSO TIPO C,Electiva Complementaria III (Productividad en Ingeniería),930,5,186.0,526250.4642857143,105250.09285714287,True,,
GRANULACIÓN TIPO C, Introducción a la Seguridad y Salud en el Trabajo  https://drive.google.com/drive/u/0/folders/14YZABFkZ-qmtYBLwKJaoaf0C_mP8Xhwe,1830,3,610.0,1035525.1071428572,345175.03571428574,True,,
GRANULACIÓN TIPO C,"Electivas Complementarias III (Gerencia del Mercadeo Digital)
 Social Media y Comunity Management",1620,1,1620.0,916694.3571428572,916694.3571428572,True,,
GRANULACIÓN TIPO C,Transporte terrestre,1620,4,405.0,916694.3571428572,229173.5892857143,True,,
GRANULACIÓN TIPO C,Marco Legal e Histórico de la Seguridad y Salud  en el Trabajo: https://drive.google.com/drive/u/0/folders/1ZhCYwzrKjhLmTC8tge9wOw-0ZA2m_PSS,1620,4,405.0,916694.3571428572,229173.5892857143,True,,
